id,chinese_name,name,codename,is_pal,tribe,bp_class,nonbonus_attack_range,price,must_bring_1,must_bring_2,partner_skills,lv1,lv2,lv3,lv4,lv5,skill_description,lv_diff,must_bring,partner_skill_type,tribe_clean,bp_class_clean,attack_range_type,rarity,rarity_label,element_1_clean,element_2_clean,element_combo,has_dual_element,codename_base,skill_description_length,skill_function_category,lv_diff_category,price_category,pal_id
11,King Keimaru,Penking,CaptainPenguin,True,EPalTribeID::CaptainPenguin,CaptainPenguin,100,5410,none,none,Drop increased by %_Fire,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu.",40,none,Autre,CaptainPenguin,CaptainPenguin,close,6,🟣 Rare,water,ice,water_ice,True,CaptainPenguin,121,Autre,Gain faible,💎 Élevé,11_Penking
12,electric rat,Jolthog,Hedgehog,True,EPalTribeID::Hedgehog,Hedgehog,100,1060,none,none,Skill power,100,110,130,160,200,"After activation, you can equip Hedgehog in your hand. If you throw it at the enemy and hit the target, it will trigger a thunder explosion.",100,none,Offensif,Hedgehog,Hedgehog,close,1,🟢 Commun,electricity,,electricity,False,Hedgehog,140,Offensif,Gain faible,💰 Faible,12_Jolthog
12,ice agouti,Jolthog Cryst,Hedgehog_Ice,True,EPalTribeID::Hedgehog_Ice,Hedgehog_Ice,100,1070,none,none,Skill power,100,110,130,160,200,"After activation, you can equip Hedgehog_Ice in your hand. If you throw it at the enemy and hit the target, it will trigger an ice explosion.",100,none,Offensif,Hedgehog_Ice,Hedgehog_Ice,close,2,🟢 Commun,ice,,ice,False,Hedgehog,141,Offensif,Gain faible,💰 Faible,12_Jolthog Cryst
13,Ye NiNi,Gumoss,PlantSlime,True,EPalTribeID::PlantSlime,PlantSlime,100,1310,none,none,Logging bonus%,10,11,13,16,20,"If it is in the party, players will be able to deal more damage when harvesting.",10,none,Bonus,PlantSlime,PlantSlime,close,1,🟢 Commun,Wood,land,Wood_land,True,PlantSlime,80,Offensif,Gain faible,💰 Faible,13_Gumoss
13,Ye Ni Ni (Special),Gumoss (Special),PlantSlime_Flower,True,EPalTribeID::PlantSlime,PlantSlime_Flower,100,1310,none,none,Logging bonus%,10,11,13,16,20,"If it is in the party, players will be able to deal more damage when harvesting.",10,none,Bonus,PlantSlime,PlantSlime_Flower,close,10,🟠 Épique,Wood,land,Wood_land,True,PlantSlime_Flower,80,Offensif,Gain faible,💰 Faible,13_Gumoss (Special)
14,Tamamo fox,Vixy,CuteFox,True,EPalTribeID::CuteFox,CuteFox,100,1000,none,none,Ranch skills,0,0,0,0,0,Assign it to the Palu Ranch and it will have a chance to dig items out of the ground.,0,none,Production,CuteFox,CuteFox,close,2,🟢 Commun,generally,,generally,False,CuteFox,85,Ranch,Aucun gain,💰 Faible,14_Vixy
15,Tikar,Hoocrates,WizardOwl,True,EPalTribeID::WizardOwl,WizardOwl,100,1050,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Dark Palu's attack power will be increased.",10,none,Offensif,WizardOwl,WizardOwl,close,1,🟢 Commun,dark,,dark,False,WizardOwl,79,Offensif,Gain faible,💰 Faible,15_Hoocrates
16,pot elephant,Teafant,Ganesha,True,EPalTribeID::Ganesha,Ganesha,100,1000,none,none,treatment value,200,220,260,320,400,"When activated, it will spray out mysterious water that is extremely effective on wounds to restore the player's health.",200,none,Soutien,Ganesha,Ganesha,close,1,🟢 Commun,water,,water,False,Ganesha,120,Soutien,Gain moyen,💰 Faible,16_Teafant
17,Look at the devil,Depresso,NegativeKoala,True,EPalTribeID::NegativeKoala,NegativeKoala,100,1050,none,none,Movement speed multiplier,2,3,5,10,10,"After activation, NegativeKoala will drink a large amount of energy drinks, greatly increasing his movement speed for a certain period of time.",8,none,Offensif,NegativeKoala,NegativeKoala,close,1,🟢 Commun,dark,,dark,False,NegativeKoala,143,Monture,Gain faible,💰 Faible,17_Depresso
18,Miruffy,Cremis,WoolFox,True,EPalTribeID::WoolFox,WoolFox,100,1420,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Normal Palu will be increased. Assign it to Palu Ranch and it will have a chance to drop Wool.",10,none,Offensif,WoolFox,WoolFox,close,1,🟢 Commun,generally,,generally,False,WoolFox,150,Offensif,Gain faible,💰 Faible,18_Cremis
19,sleep demon,Daedream,DreamDemon,True,EPalTribeID::DreamDemon,DreamDemon,100,1330,none,none,Skill power multiplier,1,1,1,1,2,"If it is in the party, it will appear next to the player. It will coordinate with the player's offensive to pursue with magic bullets.",1,none,Offensif,DreamDemon,DreamDemon,close,1,🟢 Commun,dark,,dark,False,DreamDemon,134,Autre,Gain faible,💰 Faible,19_Daedream
20,sage pig,Rushoar,Boar,True,EPalTribeID::Boar,Boar,100,1680,none,none,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying rocks while riding will be more efficient.,1500,none,Ressources,Boar,Boar,close,1,🟢 Commun,land,,land,False,Boar,86,Monture,Gain élevé,💰 Faible,20_Rushoar
21,Lunati,Nox,NightFox,True,EPalTribeID::NightFox,NightFox,100,1480,none,none,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant elemental Dark to the player's attacks.",5,none,Offensif,NightFox,NightFox,close,6,🟣 Rare,dark,,dark,False,NightFox,81,Offensif,Gain faible,💰 Faible,21_Nox
22,Escape Rat,Fuddler,CuteMole,True,EPalTribeID::CuteMole,CuteMole,100,1360,none,none,distance,10000,11000,13000,16000,20000,"When activated, it will emit tiny vibrations to detect the location of nearby ores.",10000,none,Autre,CuteMole,CuteMole,close,1,🟢 Commun,land,,land,False,CuteMole,83,Détection,Gain exceptionnel,💰 Faible,22_Fuddler
23,squid,Killamari,NegativeOctopus,True,EPalTribeID::NegativeOctopus,NegativeOctopus,100,1200,none,none,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It can float in the air for long periods of time while gliding.",0,none,Mobilité,NegativeOctopus,NegativeOctopus,close,1,🟢 Commun,dark,,dark,False,NegativeOctopus,133,Autre,Aucun gain,💰 Faible,23_Killamari
24,Meowster,Mau,Bastet,True,EPalTribeID::Bastet,Bastet,100,1000,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.,0,none,Production,Bastet,Bastet,close,1,🟢 Commun,dark,,dark,False,Bastet,81,Ranch,Aucun gain,💰 Faible,24_Mau
24,ice cream,Mau Cryst,Bastet_Ice,True,EPalTribeID::Bastet_Ice,Bastet_Ice,100,1010,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.,0,none,Production,Bastet_Ice,Bastet_Ice,close,2,🟢 Commun,ice,,ice,False,Bastet,81,Ranch,Aucun gain,💰 Faible,24_Mau Cryst
25,Rumiel,Celaray,FlyingManta,True,EPalTribeID::FlyingManta,FlyingManta,100,2860,none,none,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. Can move quickly for long periods of time while gliding.",0,none,Mobilité,FlyingManta,FlyingManta,close,3,🔵 Peu commun,water,,water,False,FlyingManta,126,Monture,Aucun gain,💸 Moyen,25_Celaray
26,hunting wolves,Direhowl,Garm,True,EPalTribeID::Garm,Garm,100,1920,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. Movement speed while riding will be slightly faster.,20,none,Mobilité,Garm,Garm,close,2,🟢 Commun,generally,,generally,False,Garm,85,Monture,Gain faible,💰 Faible,26_Direhowl
27,Fried egg bird,Tocotoco,ColorfulBird,True,EPalTribeID::ColorfulBird,ColorfulBird,100,1090,none,none,Skill power,100,110,130,160,200,"When activated, it will transform into a launcher equipped on the player and create exploding eggs.",100,none,Offensif,ColorfulBird,ColorfulBird,close,1,🟢 Commun,generally,,generally,False,ColorfulBird,99,Autre,Gain faible,💰 Faible,27_Tocotoco
28,Bona Rabbit,Flopie,FlowerRabbit,True,EPalTribeID::FlowerRabbit,FlowerRabbit,100,1220,none,none,0,0,0,0,0,0,"If it is in the party, it will appear next to the player. It will automatically pick up nearby props.",0,none,Autre,FlowerRabbit,FlowerRabbit,close,1,🟢 Commun,Wood,,Wood,False,FlowerRabbit,101,Autre,Aucun gain,💰 Faible,28_Flopie
29,Boba Cow,Mozzarina,CowPal,True,EPalTribeID::CowPal,CowPal,100,2620,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to produce Milk.,0,none,Production,CowPal,CowPal,close,2,🟢 Commun,generally,,generally,False,CowPal,66,Ranch,Aucun gain,💸 Moyen,29_Mozzarina
30,Thorn Fairy,Bristla,LittleBriarRose,True,EPalTribeID::LittleBriarRose,LittleBriarRose,100,1140,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Leaf Palu's attack power will be increased.",10,none,Offensif,LittleBriarRose,LittleBriarRose,close,1,🟢 Commun,Wood,,Wood,False,LittleBriarRose,79,Offensif,Gain faible,💰 Faible,30_Bristla
31,Sharkboy,Gobfin,SharkKid,True,EPalTribeID::SharkKid,SharkKid,100,1840,none,none,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful WaterGun. If it is in the team, it will increase the player's attack power.",1,none,Offensif,SharkKid,SharkKid,close,2,🟢 Commun,water,,water,False,SharkKid,156,Offensif,Gain faible,💰 Faible,31_Gobfin
31,red shark,Gobfin Ignis,SharkKid_Fire,True,EPalTribeID::SharkKid_Fire,SharkKid_Fire,100,1800,none,none,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful FireSeed. If it is in the team, it will increase the player's attack power.",1,none,Offensif,SharkKid_Fire,SharkKid_Fire,close,3,🔵 Peu commun,fire,,fire,False,SharkKid,156,Offensif,Gain faible,💰 Faible,31_Gobfin Ignis
32,Hanging spirit,Hangyu,WindChimes,True,EPalTribeID::WindChimes,WindChimes,100,1020,none,none,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding.",0,none,Mobilité,WindChimes,WindChimes,close,1,🟢 Commun,land,,land,False,WindChimes,122,Autre,Aucun gain,💰 Faible,32_Hangyu
32,Icebound Spirit,Hangyu Crystal,WindChimes_Ice,True,EPalTribeID::WindChimes_Ice,WindChimes_Ice,100,1020,none,none,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding.",0,none,Mobilité,WindChimes_Ice,WindChimes_Ice,close,2,🟢 Commun,ice,,ice,False,WindChimes,122,Autre,Aucun gain,💰 Faible,32_Hangyu Crystal
33,Ye Panda,Mossanda,GrassPanda,True,EPalTribeID::GrassPanda,GrassPanda,100,6200,none,none,Skill power,30,33,39,48,60,Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.,30,none,Offensif,GrassPanda,GrassPanda,close,6,🟣 Rare,Wood,,Wood,False,GrassPanda,102,Offensif,Gain faible,💎 Élevé,33_Mossanda
33,Lei Panda,Mossanda Lux,GrassPanda_Electric,True,EPalTribeID::GrassPanda_Electric,GrassPanda_Electric,100,6610,none,none,Skill power,30,33,39,48,60,Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.,30,none,Offensif,GrassPanda_Electric,GrassPanda_Electric,close,7,🟣 Rare,electricity,,electricity,False,GrassPanda,102,Offensif,Gain faible,💎 Élevé,33_Mossanda Lux
34,Marshmallow,Woolipop,SweetsSheep,True,EPalTribeID::SweetsSheep,SweetsSheep,100,1450,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it may drop Sweet.,0,none,Production,SweetsSheep,SweetsSheep,close,3,🔵 Peu commun,generally,,generally,False,SweetsSheep,46,Ranch,Aucun gain,💰 Faible,34_Woolipop
35,bush sheep,Caprity,BerryGoat,True,EPalTribeID::BerryGoat,BerryGoat,100,2510,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to drop Berries from its back.,0,none,Production,BerryGoat,BerryGoat,close,3,🔵 Peu commun,Wood,,Wood,False,BerryGoat,80,Ranch,Aucun gain,💸 Moyen,35_Caprity
36,Melupa,Melpaca,Alpaca,True,EPalTribeID::Alpaca,Alpaca,100,2740,none,none,Ranch skills,0,0,0,0,0,Can be moved around on its back. Assign it to Palu Ranch and it will have a chance to drop Wool.,0,none,Production,Alpaca,Alpaca,close,3,🔵 Peu commun,generally,,generally,False,Alpaca,96,Monture,Aucun gain,💸 Moyen,36_Melpaca
37,Zixia Deer,Eikthyrdeer,Deer,True,EPalTribeID::Deer,Deer,100,2620,none,none,Logging bonus+,220,260,320,400,500,"Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher.",280,none,Bonus,Deer,Deer,close,4,🔵 Peu commun,generally,,generally,False,Deer,127,Monture,Gain moyen,💸 Moyen,37_Eikthyrdeer
37,Only a deer,Eikthyrdeer Terra,Deer_Ground,True,EPalTribeID::Deer_Ground,Deer_Ground,100,2680,none,none,Logging bonus+,220,260,320,400,500,"Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher.",280,none,Bonus,Deer_Ground,Deer_Ground,close,6,🟣 Rare,land,,land,False,Deer,127,Monture,Gain moyen,💸 Moyen,37_Eikthyrdeer Terra
38,Swift Falcon,Nitewing,HawkBird,True,EPalTribeID::HawkBird,HawkBird,100,6300,none,none,Moving speed%,0,10,12,15,20,You can ride on its back and fly in the air.,20,none,Mobilité,HawkBird,HawkBird,close,3,🔵 Peu commun,generally,,generally,False,HawkBird,44,Monture,Gain faible,💎 Élevé,38_Nitewing
39,Ji Xiaotu,Ribunny,PinkRabbit,True,EPalTribeID::PinkRabbit,PinkRabbit,100,1160,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Normal Palu will be increased. If it is in the stronghold, the efficiency of working in WeaponFactory_Dirty_01 will be improved.",10,none,Offensif,PinkRabbit,PinkRabbit,close,1,🟢 Commun,generally,,generally,False,PinkRabbit,184,Offensif,Gain faible,💰 Faible,39_Ribunny
40,Balrog Sheep,Incineram,Baphomet,True,EPalTribeID::Baphomet,Baphomet,100,4780,none,none,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_SwallowKite.",1,none,Offensif,Baphomet,Baphomet,close,4,🔵 Peu commun,fire,dark,fire_dark,True,Baphomet,108,Offensif,Gain faible,💸 Moyen,40_Incineram
40,Dark Demon Sheep,Incineram Noct,Baphomet_Dark,True,EPalTribeID::Baphomet_Dark,Baphomet_Dark,100,4870,none,none,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_Dark_SwallowKite.",1,none,Offensif,Baphomet_Dark,Baphomet_Dark,close,5,🔵 Peu commun,dark,,dark,False,Baphomet,113,Offensif,Gain faible,💸 Moyen,40_Incineram Noct
41,Huan Yue Butterfly,Cinnamoth,CuteButterfly,True,EPalTribeID::CuteButterfly,CuteButterfly,100,5700,none,none,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with PoisonFog.",1,none,Offensif,CuteButterfly,CuteButterfly,close,4,🔵 Peu commun,Wood,,Wood,False,CuteButterfly,67,Offensif,Gain faible,💎 Élevé,41_Cinnamoth
42,Blazing Ox,Arsox,FlameBuffalo,True,EPalTribeID::FlameBuffalo,FlameBuffalo,100,3520,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won’t feel the chill while riding and it’s quite warm.,20,none,Mobilité,FlameBuffalo,FlameBuffalo,close,4,🔵 Peu commun,fire,,fire,False,FlameBuffalo,91,Monture,Gain faible,💸 Moyen,42_Arsox
43,Pa Pa Pa Catfish,Dumud,LazyCatfish,True,EPalTribeID::LazyCatfish,LazyCatfish,100,4690,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Earth Palu's attack power will be increased.",10,none,Offensif,LazyCatfish,LazyCatfish,close,4,🔵 Peu commun,land,,land,False,LazyCatfish,80,Offensif,Gain faible,💸 Moyen,43_Dumud
44,Black Crow Hermit,Cawgnito,DarkCrow,True,EPalTribeID::DarkCrow,DarkCrow,100,1840,none,none,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with the extremely powerful Unique_DarkCrow_TelePoke.",1,none,Offensif,DarkCrow,DarkCrow,close,3,🔵 Peu commun,dark,,dark,False,DarkCrow,110,Offensif,Gain faible,💰 Faible,44_Cawgnito
45,punk lizard,Leezpunk,LizardMan,True,EPalTribeID::LizardMan,LizardMan,100,1720,none,none,distance,10000,11000,13000,16000,20000,"After activation, the sixth sense can be activated to detect the location of nearby dungeons.",10000,none,Autre,LizardMan,LizardMan,close,2,🟢 Commun,dark,,dark,False,LizardMan,93,Détection,Gain exceptionnel,💰 Faible,45_Leezpunk
45,Hot-blooded lizard,Leezpunk Ignis,LizardMan_Fire,True,EPalTribeID::LizardMan_Fire,LizardMan_Fire,100,1640,none,none,distance,10000,11000,13000,16000,20000,"After activation, the sixth sense can be activated to detect the location of nearby dungeons.",10000,none,Autre,LizardMan_Fire,LizardMan_Fire,close,3,🔵 Peu commun,fire,,fire,False,LizardMan,93,Détection,Gain exceptionnel,💰 Faible,45_Leezpunk Ignis
46,Moonscythe Demon,Loupmoon,Werewolf,True,EPalTribeID::Werewolf,Werewolf,100,2400,none,none,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with extremely powerful Unique_Werewolf_Scratch.",1,none,Offensif,Werewolf,Werewolf,close,3,🔵 Peu commun,dark,,dark,False,Werewolf,100,Offensif,Gain faible,💸 Moyen,46_Loupmoon
47,Tianqinniao,Galeclaw,Eagle,True,EPalTribeID::Eagle,Eagle,100,2010,none,none,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. While gliding, your right hand will be free, so you can hold a gun and shoot.",0,none,Mobilité,Eagle,Eagle,close,2,🟢 Commun,generally,,generally,False,Eagle,147,Autre,Aucun gain,💸 Moyen,47_Galeclaw
48,Feather Archer,Robinquill,RobinHood,True,EPalTribeID::RobinHood,RobinHood,100,2050,none,none,Weakness bonus %,20,22,26,32,40,"When fighting alongside it, players will be able to deal more damage to enemy weak points.",20,none,Stratégique,RobinHood,RobinHood,close,5,🔵 Peu commun,Wood,,Wood,False,RobinHood,90,Offensif,Gain faible,💸 Moyen,48_Robinquill
48,mountain shooter,Robinquill Terra,RobinHood_Ground,True,EPalTribeID::RobinHood_Ground,RobinHood_Ground,100,2150,none,none,Weakness bonus %,20,22,26,32,40,"When fighting alongside it, players will be able to deal more damage to enemy weak points.",20,none,Stratégique,RobinHood_Ground,RobinHood_Ground,close,6,🟣 Rare,Wood,land,Wood_land,True,RobinHood,90,Offensif,Gain faible,💸 Moyen,48_Robinquill Terra
49,Iron Fist Ape,Gorirat,Gorilla,True,EPalTribeID::Gorilla,Gorilla,100,2010,rough,none,Attack power bonus%,50,75,110,150,200,"After activation, the power of wildness will be released and Gorilla's attack power will be increased for a certain period of time.",150,rough,Offensif,Gorilla,Gorilla,close,5,🔵 Peu commun,generally,,generally,False,Gorilla,131,Offensif,Gain moyen,💸 Moyen,49_Gorirat
50,knight bee,Beegarde,SoldierBee,True,EPalTribeID::SoldierBee,SoldierBee,100,1880,none,none,Queen Bee Attack and Defense Bonus%,12,13,15,19,24,"Assign it to Palu Ranch and it will have a chance to drop Honey. If it is in the team, QueenBee's attributes will be improved.",12,none,Bonus,SoldierBee,SoldierBee,close,4,🔵 Peu commun,Wood,,Wood,False,SoldierBee,126,Ranch,Gain faible,💰 Faible,50_Beegarde
51,queen bee,Elizabee,QueenBee,True,EPalTribeID::QueenBee,QueenBee,100,6830,none,none,Attack power bonus%,0,5,6,7,8,"When fighting alongside it, the more SoldierBees there are in the team, the more its attributes will improve.",8,none,Offensif,QueenBee,QueenBee,close,8,🟠 Épique,Wood,,Wood,False,QueenBee,109,Autre,Gain faible,💎 Élevé,51_Elizabee
52,Laughing Nightmare Cat,Grintale,NaughtyCat,True,EPalTribeID::NaughtyCat,NaughtyCat,100,5510,none,none,Elemental power bonus%_Normal,50,55,65,80,100,Can be moved around on its back. Elemental Normal attacks during riding will be strengthened.,50,none,Bonus,NaughtyCat,NaughtyCat,close,6,🟣 Rare,generally,,generally,False,NaughtyCat,93,Offensif,Gain faible,💎 Élevé,52_Grintale
53,Mao duster,Swee,MopBaby,True,EPalTribeID::MopBaby,MopBaby,100,1180,none,none,Daddy Mao's attack and defense bonus%,12,13,15,19,24,"If it is in the team, MopKing's attributes will be improved.",12,none,Bonus,MopBaby,MopBaby,close,1,🟢 Commun,ice,,ice,False,MopBaby,60,Autre,Gain faible,💰 Faible,53_Swee
54,Dad Mao,Sweepa,MopKing,True,EPalTribeID::MopKing,MopKing,100,6400,none,none,Attack power bonus%,0,5,6,7,8,"Can be moved around on its back. When fighting alongside it, the more MopBabys in the team, the more its attributes will improve.",8,none,Offensif,MopKing,MopKing,close,6,🟣 Rare,ice,,ice,False,MopKing,129,Monture,Gain faible,💎 Élevé,54_Sweepa
55,Whirling Weasel,Chillet,WeaselDragon,True,EPalTribeID::WeaselDragon,WeaselDragon,100,3450,none,none,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant the player's attacks the elemental Dragon.,50,none,Offensif,WeaselDragon,WeaselDragon,close,4,🔵 Peu commun,ice,dragon,ice_dragon,True,WeaselDragon,103,Offensif,Gain faible,💸 Moyen,55_Chillet
56,thunder wildebeest,Univolt,Kirin,True,EPalTribeID::Kirin,Kirin,100,4280,none,none,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant elemental Electricity to the player's attacks.,50,none,Offensif,Kirin,Kirin,close,5,🔵 Peu commun,electricity,,electricity,False,Kirin,107,Offensif,Gain faible,💸 Moyen,56_Univolt
57,blowing snow fox,Foxcicle,IceFox,True,EPalTribeID::IceFox,IceFox,100,3730,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Ice Palu will be increased.",10,none,Offensif,IceFox,IceFox,close,5,🔵 Peu commun,ice,,ice,False,IceFox,83,Offensif,Gain faible,💸 Moyen,57_Foxcicle
58,fire unicorn,Pyrin,FireKirin,True,EPalTribeID::FireKirin,FireKirin,100,6720,none,none,Attack power bonus%,50,55,65,80,100,Can be moved around on its back. While mounted it will grant elemental Fire to the player's attacks.,50,none,Offensif,FireKirin,FireKirin,close,6,🟣 Rare,fire,,fire,False,FireKirin,100,Offensif,Gain faible,💎 Élevé,58_Pyrin
58,evil unicorn,Pyrin Noct,FireKirin_Dark,True,EPalTribeID::FireKirin_Dark,FireKirin_Dark,100,7270,none,none,Attack power bonus%,50,55,65,80,100,"Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks.",50,none,Offensif,FireKirin_Dark,FireKirin_Dark,close,7,🟣 Rare,fire,dark,fire_dark,True,FireKirin,101,Offensif,Gain faible,💎 Élevé,58_Pyrin Noct
59,Deer in severe winter,Reindrix,IceDeer,True,EPalTribeID::IceDeer,IceDeer,100,2800,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won't feel the heat during the ride and it's quite cool.,20,none,Mobilité,IceDeer,IceDeer,close,4,🔵 Peu commun,ice,,ice,False,IceDeer,93,Monture,Gain faible,💸 Moyen,59_Reindrix
60,thunder dog,Rayhound,ThunderDog,True,EPalTribeID::ThunderDog,ThunderDog,100,3880,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.,20,none,Mobilité,ThunderDog,ThunderDog,close,5,🔵 Peu commun,electricity,,electricity,False,ThunderDog,72,Monture,Gain faible,💸 Moyen,60_Rayhound
